path,domain,task,steps
/home/junho/data/dataset/coin/videos/132/Xth6hlbZnAE.mp4,1,132,"['465', '466', '467', '468']"
/home/junho/data/dataset/coin/videos/10/XZDC23QNF-4.mp4,9,10,"['549', '551', '551']"
/home/junho/data/dataset/coin/videos/30/0xybXrdeSTk.mp4,7,30,"['340', '341', '340', '341', '342']"
/home/junho/data/dataset/coin/videos/105/zHHSOKFzmYQ.mp4,2,105,"['179', '180', '181']"
/home/junho/data/dataset/coin/videos/22/CK_9Bn3DZdw.mp4,9,22,"['108', '107', '109', '106']"
/home/junho/data/dataset/coin/videos/99/TS0dZccs0N0.mp4,8,99,"['187', '188', '187', '188']"
/home/junho/data/dataset/coin/videos/58/ofRVyP4PAzg.mp4,3,58,"['120', '120', '121', '122', '123']"
/home/junho/data/dataset/coin/videos/33/huFjPGrq1Og.mp4,7,33,"['638', '638', '639']"
/home/junho/data/dataset/coin/videos/117/UHdNMPBx7VM.mp4,2,117,"['243', '244']"
/home/junho/data/dataset/coin/videos/146/Ku03DOoMNYw.mp4,4,146,"['369', '370', '371', '372']"
/home/junho/data/dataset/coin/videos/88/4ZYUVqe45zg.mp4,9,88,"['484', '484', '485', '486']"
/home/junho/data/dataset/coin/videos/30/qd7onfkw1iU.mp4,7,30,"['341', '341', '342']"
/home/junho/data/dataset/coin/videos/145/oO8of1uEHiU.mp4,4,145,"['589', '590', '590', '591', '591', '591', '592']"
/home/junho/data/dataset/coin/videos/78/HgkC8vNqmNQ.mp4,6,78,"['351', '350', '348', '349']"
/home/junho/data/dataset/coin/videos/41/cUk96amBx44.mp4,4,41,"['586', '587', '587', '587']"
/home/junho/data/dataset/coin/videos/22/ZiGEN2F_spc.mp4,9,22,"['108', '109', '107', '106']"
/home/junho/data/dataset/coin/videos/92/7L4Wr9rzar4.mp4,9,92,"['25', '26', '26']"
/home/junho/data/dataset/coin/videos/109/nIvcPe-OL6s.mp4,2,109,"['239', '241']"
/home/junho/data/dataset/coin/videos/109/mX2gDutWTKA.mp4,2,109,"['239', '240', '239', '240', '241']"
/home/junho/data/dataset/coin/videos/66/ZfPGAyll1-k.mp4,1,66,"['336', '337', '338', '339']"
/home/junho/data/dataset/coin/videos/15/8-Qa7tPdyFQ.mp4,3,15,"['79', '80', '81', '82', '82', '82']"
/home/junho/data/dataset/coin/videos/106/oCShiT5KDT8.mp4,3,106,"['740', '742']"
/home/junho/data/dataset/coin/videos/17/QLWJ4N-5KJg.mp4,2,17,"['276', '277', '278', '278']"
/home/junho/data/dataset/coin/videos/33/x3mP6poDdbY.mp4,7,33,"['640', '639', '638']"
/home/junho/data/dataset/coin/videos/11/sCwfcAEgvtw.mp4,1,11,"['714', '714', '716']"
/home/junho/data/dataset/coin/videos/73/THo2YiWuU1s.mp4,5,73,"['96', '98', '97', '98']"
/home/junho/data/dataset/coin/videos/168/tK19K6aFIMM.mp4,9,168,"['217', '218', '219', '220', '220']"
/home/junho/data/dataset/coin/videos/47/eYZzsprO3bo.mp4,6,47,"['304', '306']"
/home/junho/data/dataset/coin/videos/33/2zqpJb-3SyI.mp4,7,33,"['640', '639']"
/home/junho/data/dataset/coin/videos/179/l_pp-1qu9Ig.mp4,6,179,"['30', '31', '30', '31', '30', '32']"
/home/junho/data/dataset/coin/videos/21/BcJiXwaJjQQ.mp4,11,21,"['594', '595', '595']"
/home/junho/data/dataset/coin/videos/51/Wh0Z5_wqNto.mp4,8,51,"['194', '195', '194', '195', '197', '197']"
/home/junho/data/dataset/coin/videos/175/lQnUlFm56Ao.mp4,0,175,"['510', '511', '509', '511', '509', '511', '509', '511', '509', '509', '512']"
/home/junho/data/dataset/coin/videos/22/SpPaRieydzo.mp4,9,22,"['108', '109', '106']"
/home/junho/data/dataset/coin/videos/64/IVjJIVvcawo.mp4,9,64,"['497', '498', '499', '500']"
/home/junho/data/dataset/coin/videos/25/N1V_rruN5oc.mp4,11,25,"['47', '49', '50']"
/home/junho/data/dataset/coin/videos/172/dyhR-XYWa0A.mp4,2,172,"['767', '768', '769']"
/home/junho/data/dataset/coin/videos/157/IuLXpF0pkRc.mp4,5,157,"['501', '503', '502']"
/home/junho/data/dataset/coin/videos/157/W5W1XXdueT0.mp4,5,157,"['501', '502', '503', '502']"
/home/junho/data/dataset/coin/videos/26/14bRmzauQFE.mp4,11,26,"['528', '529', '530']"
/home/junho/data/dataset/coin/videos/17/k6klYBJCjWI.mp4,2,17,"['276', '276', '277']"
/home/junho/data/dataset/coin/videos/86/c9ilKEcL69E.mp4,8,86,"['62', '63']"
/home/junho/data/dataset/coin/videos/11/lyAWtyRTEe4.mp4,1,11,"['714', '716', '716', '716', '716']"
/home/junho/data/dataset/coin/videos/52/Tz1ccR4A_Pk.mp4,2,52,"['381', '383', '381', '382', '383']"
/home/junho/data/dataset/coin/videos/141/zRtZbAQMhjw.mp4,3,141,"['532', '533', '534']"
/home/junho/data/dataset/coin/videos/25/4CHtEuIGPPQ.mp4,11,25,"['47', '49']"
/home/junho/data/dataset/coin/videos/76/PBZ09GEbYAE.mp4,10,76,"['494', '495', '496']"
/home/junho/data/dataset/coin/videos/12/piajlE3zwe4.mp4,1,12,"['684', '685', '686', '687']"
/home/junho/data/dataset/coin/videos/20/uf0J76feCl0.mp4,11,20,"['209', '208', '209']"
/home/junho/data/dataset/coin/videos/42/a5cCXFeLUR8.mp4,11,42,"['516', '517', '518']"
/home/junho/data/dataset/coin/videos/20/2iL7JSB42jc.mp4,11,20,"['207', '207', '207', '208', '208', '209', '209']"
/home/junho/data/dataset/coin/videos/126/ffC1az6Nl0I.mp4,4,126,"['86', '86', '87', '88']"
/home/junho/data/dataset/coin/videos/83/QnMbDe-tG74.mp4,9,83,"['203', '204', '205', '206']"
/home/junho/data/dataset/coin/videos/145/LaYT_7IUVEk.mp4,4,145,"['589', '590', '591', '592']"
/home/junho/data/dataset/coin/videos/10/fNfFoxQm-cA.mp4,9,10,"['549', '550', '550', '551']"
/home/junho/data/dataset/coin/videos/16/LmCuvsTshtE.mp4,1,16,"['235', '237']"
/home/junho/data/dataset/coin/videos/79/nkuInJhaMnc.mp4,9,79,"['22', '23', '24']"
/home/junho/data/dataset/coin/videos/39/wWWmMQ1WII4.mp4,6,39,"['471', '479', '469', '472', '471', '471', '472', '470', '471', '472']"
/home/junho/data/dataset/coin/videos/20/0g6aBQErARc.mp4,11,20,"['207', '207', '208']"
/home/junho/data/dataset/coin/videos/73/glMSNp9aAec.mp4,5,73,"['96', '98', '98']"
/home/junho/data/dataset/coin/videos/163/5ErPb9BLe7A.mp4,4,163,"['520', '519', '521']"
/home/junho/data/dataset/coin/videos/20/Gx0ON1f7J44.mp4,11,20,"['207', '207', '208', '209', '209', '210', '211']"
/home/junho/data/dataset/coin/videos/36/K4qyDXm0VGk.mp4,10,36,"['72', '73', '72', '73']"
/home/junho/data/dataset/coin/videos/172/zKQM3_b8Q7Q.mp4,2,172,"['767', '768', '767', '768']"
/home/junho/data/dataset/coin/videos/131/38YgOHxwoF8.mp4,3,131,"['214', '214', '213', '216']"
/home/junho/data/dataset/coin/videos/48/sHyijcO2o3g.mp4,6,48,"['666', '667', '668', '669']"
/home/junho/data/dataset/coin/videos/86/VOLL0u6QwUU.mp4,8,86,"['62', '63']"
/home/junho/data/dataset/coin/videos/99/0oVDzAhR1dE.mp4,8,99,"['186', '188']"
/home/junho/data/dataset/coin/videos/165/pvPFOLx9uXk.mp4,6,165,"['670', '671', '670', '671', '672']"
/home/junho/data/dataset/coin/videos/131/e22CuUfl6WY.mp4,3,131,"['214', '215', '212', '216']"
/home/junho/data/dataset/coin/videos/5/hUTvqHNX6SI.mp4,4,5,"['270', '273', '272', '272']"
/home/junho/data/dataset/coin/videos/47/XIEKGnGUv7I.mp4,6,47,"['305', '304', '306', '305', '306']"
/home/junho/data/dataset/coin/videos/131/zKwnGRiKvPU.mp4,3,131,"['212', '216']"
/home/junho/data/dataset/coin/videos/100/rRiDl-aU6mw.mp4,8,100,"['308', '309', '312', '310', '312']"
/home/junho/data/dataset/coin/videos/86/JxxcrwkS70w.mp4,8,86,"['62', '63', '62', '63']"
/home/junho/data/dataset/coin/videos/119/VIv9DrMZKEk.mp4,2,119,"['735', '736']"
/home/junho/data/dataset/coin/videos/140/EJQJdYqbNQY.mp4,4,140,"['696', '698']"
/home/junho/data/dataset/coin/videos/43/lKwvVZY8PRM.mp4,2,43,"['443', '444', '446', '447']"
/home/junho/data/dataset/coin/videos/60/LcvtAU4Ey2w.mp4,0,60,"['598', '599', '601', '602', '601', '602']"
/home/junho/data/dataset/coin/videos/119/Nz9bLFj__fM.mp4,2,119,"['735', '736']"
/home/junho/data/dataset/coin/videos/76/Qn8BGGsDW8I.mp4,10,76,"['494', '495', '496']"
/home/junho/data/dataset/coin/videos/24/zVq6gQIgPzE.mp4,11,24,"['302', '303', '300', '303', '303', '300']"
/home/junho/data/dataset/coin/videos/157/hBgahDObKGM.mp4,5,157,"['502', '501', '502', '503', '503']"
/home/junho/data/dataset/coin/videos/22/mrgg3Bz7S1E.mp4,9,22,"['107', '108', '106', '107', '108', '109', '105', '107', '105']"
/home/junho/data/dataset/coin/videos/53/Eq3jZeo3jqI.mp4,9,53,"['554', '557', '558']"
/home/junho/data/dataset/coin/videos/47/KNSlBfwtkgE.mp4,6,47,"['304', '305', '306']"
/home/junho/data/dataset/coin/videos/108/eHpur6GLer4.mp4,2,108,"['535', '536', '537']"
/home/junho/data/dataset/coin/videos/57/7JAzoTzCvkE.mp4,1,57,"['41', '45']"
/home/junho/data/dataset/coin/videos/86/c4sdaSQF4HM.mp4,8,86,"['62', '63']"
/home/junho/data/dataset/coin/videos/4/DNaR6gR9Txc.mp4,5,4,"['612', '614', '613', '613', '612']"
/home/junho/data/dataset/coin/videos/136/e9DT2uKJkHU.mp4,5,136,"['634', '635', '634', '635']"
/home/junho/data/dataset/coin/videos/154/L5zAUY75adU.mp4,10,154,"['651', '653', '653', '653', '653']"
/home/junho/data/dataset/coin/videos/158/h-z_-6KeJVM.mp4,1,158,"['283', '284']"
/home/junho/data/dataset/coin/videos/145/i-jzfJkCGzA.mp4,4,145,"['589', '590', '590', '591']"
/home/junho/data/dataset/coin/videos/168/wYXFlOTvieI.mp4,9,168,"['217', '219', '220']"
/home/junho/data/dataset/coin/videos/86/5bjExCVDvBI.mp4,8,86,"['62', '63', '64']"
/home/junho/data/dataset/coin/videos/156/dyiF2sbtqgg.mp4,7,156,"['584', '582', '583']"
/home/junho/data/dataset/coin/videos/151/3r7Vcs3z4pI.mp4,6,151,"['422', '423']"
/home/junho/data/dataset/coin/videos/97/wLfLFZq4OLg.mp4,3,97,"['615', '616', '618']"
/home/junho/data/dataset/coin/videos/61/NoohBOpi6ow.mp4,0,61,"['673', '674', '675']"
/home/junho/data/dataset/coin/videos/83/BtBMa1hT7oI.mp4,9,83,"['203', '205', '206']"
/home/junho/data/dataset/coin/videos/20/TST-Y_P_auw.mp4,11,20,"['207', '208', '209', '208', '208', '210', '208']"
/home/junho/data/dataset/coin/videos/29/uuXigStwJUM.mp4,10,29,"['257', '258', '257', '258', '257', '258', '257', '258', '257', '258', '257', '258', '257', '258']"
/home/junho/data/dataset/coin/videos/10/crqL5clEv0I.mp4,9,10,"['549', '548', '551']"
/home/junho/data/dataset/coin/videos/68/uJZPlX5MHlI.mp4,5,68,"['164', '163', '165', '163', '165', '166']"
/home/junho/data/dataset/coin/videos/109/AJitwtxoPig.mp4,2,109,"['241', '242']"
/home/junho/data/dataset/coin/videos/129/0yWx7c5zkB8.mp4,1,129,"['574', '577']"
/home/junho/data/dataset/coin/videos/54/5bzDak3OmsE.mp4,1,54,"['401', '402', '406']"
/home/junho/data/dataset/coin/videos/92/hF6Rk5b3y00.mp4,9,92,"['25', '25', '28', '29']"
/home/junho/data/dataset/coin/videos/173/SeOyYK-sW2E.mp4,6,173,"['279', '280', '281', '282']"
/home/junho/data/dataset/coin/videos/2/QEjTNvMZet0.mp4,5,2,"['560', '560', '559', '560', '565']"
/home/junho/data/dataset/coin/videos/10/kcXTr6k2bS4.mp4,9,10,"['549', '549', '548', '549', '548', '551']"
/home/junho/data/dataset/coin/videos/94/t_wFv2aQlGQ.mp4,6,94,"['386', '387']"
/home/junho/data/dataset/coin/videos/153/5_-8QHzXU94.mp4,0,153,"['700', '701', '702']"
/home/junho/data/dataset/coin/videos/131/nUEAE2Yp0LQ.mp4,3,131,"['212', '212', '214', '214', '215']"
/home/junho/data/dataset/coin/videos/166/ubRsfnqiORg.mp4,0,166,"['229', '230', '231']"
/home/junho/data/dataset/coin/videos/10/dvHiIfntqRA.mp4,9,10,"['549', '550', '551']"
/home/junho/data/dataset/coin/videos/165/liHUSvN3xT8.mp4,6,165,"['670', '671', '670', '671', '670', '671']"
/home/junho/data/dataset/coin/videos/64/qbkxVEUxXB0.mp4,9,64,"['498', '499', '500', '498', '500', '499']"
/home/junho/data/dataset/coin/videos/135/JcvfuLcwdsw.mp4,4,135,"['770', '772', '772', '770', '772', '775', '775']"
/home/junho/data/dataset/coin/videos/127/cy77XxQ5D7A.mp4,1,127,"['491', '492']"
/home/junho/data/dataset/coin/videos/152/IDQwjVDWwVI.mp4,4,152,"['95', '94', '95', '95', '95']"
/home/junho/data/dataset/coin/videos/94/aSItLD6IU0Q.mp4,6,94,"['384', '386', '386', '387']"
/home/junho/data/dataset/coin/videos/136/M8C-ZMaZxvU.mp4,5,136,"['634', '635', '634', '636']"
/home/junho/data/dataset/coin/videos/66/_GqSqLtMX20.mp4,1,66,"['336', '338', '339']"
/home/junho/data/dataset/coin/videos/95/HmaZw8PWKhY.mp4,8,95,"['102', '103']"
/home/junho/data/dataset/coin/videos/0/SqoBwNrFzWc.mp4,6,0,"['66', '67', '68']"
/home/junho/data/dataset/coin/videos/11/lEz6XEBywiQ.mp4,1,11,"['713', '713', '716', '715', '715', '716']"
/home/junho/data/dataset/coin/videos/11/JR2aaVDrJ-Q.mp4,1,11,"['714', '716', '715', '715', '716', '716']"
/home/junho/data/dataset/coin/videos/107/mFsYjGF70Y8.mp4,11,107,"['297', '298']"
/home/junho/data/dataset/coin/videos/3/doh-kACk-HE.mp4,5,3,"['436', '439']"
/home/junho/data/dataset/coin/videos/130/WGXVRnfFsnk.mp4,4,130,"['720', '722', '723']"
/home/junho/data/dataset/coin/videos/109/vLeBbB_bN_U.mp4,2,109,"['239', '240', '241']"
/home/junho/data/dataset/coin/videos/2/7-n7wAlW4KU.mp4,5,2,"['560', '560', '563', '559']"
/home/junho/data/dataset/coin/videos/39/817f5DfYijY.mp4,6,39,"['471', '477']"
/home/junho/data/dataset/coin/videos/76/5ii6_a8_h-c.mp4,10,76,"['495', '496']"
/home/junho/data/dataset/coin/videos/133/7RwXC8XyR3M.mp4,5,133,"['416', '417']"
/home/junho/data/dataset/coin/videos/93/KW3Kaq60-Lw.mp4,9,93,"['522', '524', '526']"
/home/junho/data/dataset/coin/videos/37/Xy-SiiA3VNY.mp4,7,37,"['328', '329', '330']"
/home/junho/data/dataset/coin/videos/10/KoXHwJjq2X4.mp4,9,10,"['549', '548', '551']"
/home/junho/data/dataset/coin/videos/71/LtENLo5vY-k.mp4,5,71,"['663', '664', '665']"
/home/junho/data/dataset/coin/videos/24/yaVmqSlFYoQ.mp4,11,24,"['299', '300', '301']"
/home/junho/data/dataset/coin/videos/117/NY95x-2-19M.mp4,2,117,"['243', '244']"
/home/junho/data/dataset/coin/videos/29/8LH6kNrqvAg.mp4,10,29,"['257', '258', '257', '258', '257', '258', '257', '258', '257', '258', '257', '258', '257']"
/home/junho/data/dataset/coin/videos/15/jGAX3a7qBKE.mp4,3,15,"['79', '80', '81', '82']"
/home/junho/data/dataset/coin/videos/128/Bu6lkCzamfQ.mp4,4,128,"['75', '76', '77', '78']"
/home/junho/data/dataset/coin/videos/80/GAh9lQmaEvI.mp4,6,80,"['320', '321', '322', '323']"
/home/junho/data/dataset/coin/videos/28/Pw1RNJ2xAXw.mp4,9,28,"['20', '17', '18', '19', '19']"
/home/junho/data/dataset/coin/videos/134/aTF8X6NK9nc.mp4,2,134,"['622', '623']"
/home/junho/data/dataset/coin/videos/157/vM5iE7GPUS8.mp4,5,157,"['501', '502', '503']"
/home/junho/data/dataset/coin/videos/39/Gc6MDFINys4.mp4,6,39,"['469', '471', '472', '471', '472', '471', '472', '472', '472', '470']"
/home/junho/data/dataset/coin/videos/125/8c-eU4zDzN4.mp4,3,125,"['648', '649', '650']"
/home/junho/data/dataset/coin/videos/103/NQI_zo2bbOM.mp4,10,103,"['148', '149', '150', '151', '152', '149', '151', '148', '150', '151', '153', '148', '149', '150', '151', '152', '149', '153', '148', '150', '151', '153', '148', '149', '150', '151', '152', '149', '153', '148', '149', '150', '151', '152', '149', '153']"
/home/junho/data/dataset/coin/videos/130/Vp3CO9_vKOI.mp4,4,130,"['720', '721', '722', '723']"
/home/junho/data/dataset/coin/videos/142/mz0CrjXWo1Y.mp4,3,142,"['542', '543', '544']"
/home/junho/data/dataset/coin/videos/133/Qr-KBk_5Pys.mp4,5,133,"['417', '419', '419', '419', '420', '418']"
/home/junho/data/dataset/coin/videos/107/Q-gctT1W2ss.mp4,11,107,"['297', '298']"
/home/junho/data/dataset/coin/videos/117/rXrVqhdt-9g.mp4,2,117,"['243', '244', '243', '244']"
/home/junho/data/dataset/coin/videos/113/55N_FfVbiYA.mp4,2,113,"['143', '144', '147', '146']"
/home/junho/data/dataset/coin/videos/128/078em8eJh04.mp4,4,128,"['75', '76', '77']"
/home/junho/data/dataset/coin/videos/146/3XVazimL47I.mp4,4,146,"['370', '371']"
/home/junho/data/dataset/coin/videos/145/0Lyg-eVSoAM.mp4,4,145,"['589', '590', '591', '591', '591', '592']"
/home/junho/data/dataset/coin/videos/14/7U6GGGRJPs4.mp4,2,14,"['725', '726', '728']"
/home/junho/data/dataset/coin/videos/57/NcCnbsultaI.mp4,1,57,"['42', '44']"
/home/junho/data/dataset/coin/videos/93/Rvi9N3tEsJE.mp4,9,93,"['522', '525', '524', '526']"
/home/junho/data/dataset/coin/videos/109/jMiq_lSfGQk.mp4,2,109,"['239', '240', '241']"
/home/junho/data/dataset/coin/videos/13/Mk9lciiwkqQ.mp4,1,13,"['259', '260', '259', '260', '261', '262', '263']"
/home/junho/data/dataset/coin/videos/123/sm2JO4v20tI.mp4,3,123,"['732', '733', '734']"
/home/junho/data/dataset/coin/videos/135/WB8I4HZArXU.mp4,4,135,"['771', '773', '775', '775', '775']"
/home/junho/data/dataset/coin/videos/104/z5trcVcik0A.mp4,3,104,"['91', '92', '91', '92']"
/home/junho/data/dataset/coin/videos/30/H5y3QV179Do.mp4,7,30,"['341', '342']"
/home/junho/data/dataset/coin/videos/122/SI900EHF7JI.mp4,0,122,"['325', '326', '327', '325', '326', '327', '325', '326', '327', '325', '326', '327']"
/home/junho/data/dataset/coin/videos/39/HrPozvZuCfo.mp4,6,39,"['472', '470', '472', '473', '472', '469', '472', '478', '478', '471']"
/home/junho/data/dataset/coin/videos/32/nW46FnVJSuU.mp4,7,32,"['604', '607', '604', '604', '607']"
/home/junho/data/dataset/coin/videos/106/MtB0wBkwHWQ.mp4,3,106,"['740', '742']"
/home/junho/data/dataset/coin/videos/166/JaLZIAYOZu0.mp4,0,166,"['229', '230']"
/home/junho/data/dataset/coin/videos/20/OU--jEmTQLU.mp4,11,20,"['208', '209', '208', '209', '210', '208']"
/home/junho/data/dataset/coin/videos/148/ssVyZ_uOmpQ.mp4,3,148,"['250', '251', '252', '253', '254', '255', '256']"
/home/junho/data/dataset/coin/videos/129/5XWJIhX_KTM.mp4,1,129,"['574', '575', '576', '577']"
/home/junho/data/dataset/coin/videos/0/JJOXbrm07DU.mp4,6,0,"['67', '68']"
/home/junho/data/dataset/coin/videos/130/GOH7UY0AsDQ.mp4,4,130,"['720', '723']"
/home/junho/data/dataset/coin/videos/65/w2_Nzl0eZjc.mp4,5,65,"['629', '630']"
/home/junho/data/dataset/coin/videos/114/WUFaptJK0d0.mp4,7,114,"['222', '223']"
/home/junho/data/dataset/coin/videos/160/R3mwz7TmpDg.mp4,10,160,"['167', '168', '168', '169']"
/home/junho/data/dataset/coin/videos/71/uCFGae94FEQ.mp4,5,71,"['663', '664', '665']"
/home/junho/data/dataset/coin/videos/31/DA3-AKE045Y.mp4,2,31,"['225', '227', '226', '228']"
/home/junho/data/dataset/coin/videos/161/YtT1lNNa2Hc.mp4,1,161,"['567', '568', '569', '569']"
/home/junho/data/dataset/coin/videos/103/PMvaOpQuCwY.mp4,10,103,"['149', '150', '149', '153', '149', '151']"
/home/junho/data/dataset/coin/videos/133/KFksbO7-XoI.mp4,5,133,"['417', '416', '420', '419']"
/home/junho/data/dataset/coin/videos/58/1_UBfkLCbu0.mp4,3,58,"['120', '121', '122', '123']"
/home/junho/data/dataset/coin/videos/146/Ut-iuaWr374.mp4,4,146,"['369', '370']"
/home/junho/data/dataset/coin/videos/15/rt3SzABuQLs.mp4,3,15,"['79', '80', '81', '82']"
/home/junho/data/dataset/coin/videos/79/0rjV6GiJelQ.mp4,9,79,"['23', '24']"
/home/junho/data/dataset/coin/videos/86/uavCHN_k0Lk.mp4,8,86,"['62', '63', '64', '62']"
/home/junho/data/dataset/coin/videos/139/w2fp5lp4OFk.mp4,4,139,"['377', '378', '377', '376']"
/home/junho/data/dataset/coin/videos/104/QYBdNoatWbc.mp4,3,104,"['91', '92']"
/home/junho/data/dataset/coin/videos/75/0mEbl8CwRUI.mp4,11,75,"['174', '173', '174', '173', '172', '173', '173', '174']"
/home/junho/data/dataset/coin/videos/47/ULqvEGBshI8.mp4,6,47,"['304', '305', '306', '306']"
/home/junho/data/dataset/coin/videos/64/NTCkp9PYZgc.mp4,9,64,"['497', '498', '499']"
/home/junho/data/dataset/coin/videos/165/DAzqnAlEoW4.mp4,6,165,"['670', '671', '670', '671', '672']"
/home/junho/data/dataset/coin/videos/15/J2KkDFXEEJ4.mp4,3,15,"['79', '80', '81', '82']"
/home/junho/data/dataset/coin/videos/31/oMVPVS4ypYI.mp4,2,31,"['225', '227', '228']"
/home/junho/data/dataset/coin/videos/125/9RhoGtRWE4g.mp4,3,125,"['648', '649', '650']"
